student;source;target
-2723407435739553977;1 calc_class_1_absent_(1);2 bmgc_lecture_1_none_(1)
-2723407435739553977;2 bmgc_lecture_1_none_(1);3 bmgc_seminar_1_absent_(1)
-2723407435739553977;3 bmgc_seminar_1_absent_(1);4 calc_class_2_absent_(1)
-2723407435739553977;4 calc_class_2_absent_(1);5 bmgc_lecture_2_present_(1)
-2723407435739553977;5 bmgc_lecture_2_present_(1);6 bmgc_seminar_2_absent_(1)
-2723407435739553977;6 bmgc_seminar_2_absent_(1);7 calc_class_3_absent_(1)
-2723407435739553977;7 calc_class_3_absent_(1);8 bmgc_lecture_3_none_(1)
-2723407435739553977;8 bmgc_lecture_3_none_(1);9 calc_class_4_absent_(1)
-2723407435739553977;9 calc_class_4_absent_(1);10 bmgc_lecture_4_none_(1)
-2723407435739553977;10 bmgc_lecture_4_none_(1);11 bmgc_seminar_3_absent_(1)
-2723407435739553977;11 bmgc_seminar_3_absent_(1);12 calc_class_5_absent_(1)
-2723407435739553977;12 calc_class_5_absent_(1);13 bmgc_lecture_5_none_(1)
-2723407435739553977;13 bmgc_lecture_5_none_(1);14 bmgc_seminar_4_active_(1)
-2723407435739553977;14 bmgc_seminar_4_active_(1);15 calc_class_6_absent_(1)
-2723407435739553977;15 calc_class_6_absent_(1);16 bmgc_seminar_5_active_(1)
-2723407435739553977;16 bmgc_seminar_5_active_(1);17 calc_class_7_absent_(1)
-2723407435739553977;17 calc_class_7_absent_(1);18 bmgc_lecture_6_none_(1)
-2723407435739553977;18 bmgc_lecture_6_none_(1);19 bmgc_seminar_6_active_(1)
-2723407435739553977;19 bmgc_seminar_6_active_(1);20 calc_class_8_present_(1)
-2723407435739553977;20 calc_class_8_present_(1);21 bmgc_lecture_7_none_(1)
-2723407435739553977;21 bmgc_lecture_7_none_(1);22 bmgc_seminar_7_active_(1)
-2723407435739553977;22 bmgc_seminar_7_active_(1);23 calc_class_9_absent_(1)
-2723407435739553977;23 calc_class_9_absent_(1);24 bmgc_lecture_8_none_(1)
-2723407435739553977;24 bmgc_lecture_8_none_(1);25 bmgc_seminar_8_active_(1)
-2723407435739553977;25 bmgc_seminar_8_active_(1);26 calc_class_10_present_(1)
-2723407435739553977;26 calc_class_10_present_(1);27 bmgc_lecture_9_none_(1)
-2723407435739553977;27 bmgc_lecture_9_none_(1);28 bmgc_seminar_9_active_(1)
-2723407435739553977;28 bmgc_seminar_9_active_(1);29 calc_class_11_present_(1)
-2723407435739553977;29 calc_class_11_present_(1);30 bmgc_lecture_10_none_(1)
-2723407435739553977;30 bmgc_lecture_10_none_(1);31 bmgc_seminar_10_active_(1)
-2723407435739553977;31 bmgc_seminar_10_active_(1);32 calc_class_12_present_(1)
-2723407435739553977;32 calc_class_12_present_(1);33 bmgc_lecture_11_none_(1)
-2723407435739553977;33 bmgc_lecture_11_none_(1);34 bmgc_seminar_11_absent_(1)
-2723407435739553977;34 bmgc_seminar_11_absent_(1);35 calc_class_13_present_(1)
-2723407435739553977;35 calc_class_13_present_(1);36 bmgc_lecture_12_none_(1)
-2723407435739553977;36 bmgc_lecture_12_none_(1);37 bmgc_seminar_12_present_(1)
-2723407435739553977;37 bmgc_seminar_12_present_(1);38 calc_class_14_present_(1)
-2723407435739553977;38 calc_class_14_present_(1);39 bmgc_lecture_13_none_(1)
-2723407435739553977;39 bmgc_lecture_13_none_(1);40 bmgc_seminar_13_absent_(1)
-2723407435739553977;40 bmgc_seminar_13_absent_(1);41 bmgc_lecture_14_pass_(1)
-2723407435739553977;41 bmgc_lecture_14_pass_(1);42 bmgc_seminar_14_pass_(1)
-2723407435739553977;42 bmgc_seminar_14_pass_(1);43 bmgc_seminar_15_pass_(1)
